symbol,name,theme,category,family,exchange,aum
ROKT,SPDR Kensho Final Frontiers ETF,Industrials,Industrials,State Street Global Advisors,PCX,255268288
ROOF,IQ U.S. Real Estate Small Cap ETF,Real Estate,REITs,IndexIQ,PCX,37322840
RWO,SPDR Dow Jones Global Real Estate ETF,Equities,REITs,State Street Global Advisors,PCX,1236275328
RWR,SPDR Dow Jones REIT ETF,Equities,REITs,State Street Global Advisors,PCX,1801343360
RWX,SPDR Dow Jones International Real Estate ETF,Equities,REITs,State Street Global Advisors,PCX,269633664
SCHH,Schwab U.S. REIT ETF,Real Estate,REITs,Schwab ETFs,PCX,9982081024
SIL,Global X Silver Miners ETF,Materials,Materials,Global X Funds,PCX,5223315456
SILJ,ETFMG Prime Junior Silver Miners ETF,Materials,Materials,ETF Management,PCX,4036790016
SIMS,SPDR S&P Kensho Intelligent Structures ETF,Industrials,Utilities,State Street Global Advisors,PCX,8843295
SKYY,First Trust Cloud Computing ETF,Information Technology,Technology,First Trust Advisors,NGM,3063715328
SMH,VanEck Vectors Semiconductor ETF,Information Technology,Technology,VanEck Asset Management,NMS,67822489600
SOXQ,Invesco PHLX Semiconductor ETF,Information Technology,Technology,Invesco Investment Management,NGM,2393329920
SOXX,iShares PHLX Semiconductor ETF,Information Technology,Technology,BlackRock Asset Management,NGM,38373490688
SPRE,SP Funds S&P Global REIT Sharia ETF,Real Estate,REITs,SP Funds,PCX,203354096
SRET,Global X SuperDividend REIT ETF,Real Estate,REITs,Global X Funds,NGM,230435344
SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Real Estate,REITs,Pacer,PCX,407420352
THNQ,Robo Global Artificial Intelligence ETF,Information Technology,Technology,Robo Global,PCX,432977952
TPYP,Tortoise North American Pipeline Fund,Energy,Energy,Tortoise Capital Advisors,PCX,838273024
URE,ProShares Ultra Real Estate,Real Estate,REITs,ProShares,PCX,55966664
USRT,iShares Core U.S. REIT ETF,Real Estate,REITs,BlackRock Asset Management,PCX,3816320256
VEGI,iShares MSCI Global Agriculture Producers ETF,Materials,Materials,BlackRock Asset Management,PCX,158013584
VFH,Vanguard Financials Index Fund ETF Shares,Financials,Financials,Vanguard Asset Management,PCX,13458237440
VNQ,Vanguard Real Estate Index Fund ETF Shares,Real Estate,REITs,Vanguard Asset Management,PCX,69802549248
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF Shares,Real Estate,REITs,Vanguard Asset Management,NGM,3800113920
WFH,Direxion Work From Home ETF,Information Technology,Technology,Direxion Funds,PCX,14251680
WOOD,iShares Global Timber & Forestry ETF,Materials,Materials,BlackRock Asset Management,NMS,251677248
WPS,iShares International Developed Property ETF,Real Estate,REITs,BlackRock Asset Management,PCX,30603788
WUGI,Esoterica NextG Economy ETF,Information Technology,Technology,Esoterica Capital,BTS,35272408
XAR,SPDR S&P Aerospace & Defense ETF,Industrials,Industrials,State Street Global Advisors,PCX,6474359808
XBI,SPDR S&P Biotech ETF,Health Care,Health Care,State Street Global Advisors,PCX,8392988672
XES,SPDR S&P Oil & Gas Equipment & Services ETF,Energy,Energy,State Street Global Advisors,PCX,574265216
XME,SPDR S&P Metals and Mining ETF,Materials,Materials,State Street Global Advisors,PCX,5270453248
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Energy,Energy,State Street Global Advisors,PCX,3369822464
XRT,SPDR S&P Retail ETF,Consumer Discretionary,Consumer Discretionary,State Street Global Advisors,PCX,692855168
XSD,SPDR S&P Semiconductor ETF,Information Technology,Technology,State Street Global Advisors,PCX,3338012416
